id,brand,model,variant,cleaned,reason
19597,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
61935,TOYOTA,CAMRY,G X,TOYOTA CAMRY G X,low score
89675,MAZDA,2,SKYACTIV-G,MAZDA 2 SKYACTIVG,low score
96562,BMW,M,M340I,BMW M M340I,low score
62159,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
60212,TOYOTA,RAV4,,TOYOTA RAV4 ,low score
49344,PERODUA,AXIA,G,PERODUA AXIA G,low score
60645,TOYOTA,INNOVA,X,TOYOTA INNOVA X,low score
53394,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
60753,TOYOTA,FORTUNER,V,TOYOTA FORTUNER V,low score
19872,HONDA,JAZZ,HYBRID,HONDA JAZZ HYBRID,low score
88257,HONDA,ACCORD,VTI-S,HONDA ACCORD VTIS,low score
34913,PROTON,X50,PREMIUM,PROTON X50 PREMIUM,low score
64520,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
61020,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
19972,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
61172,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
20024,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
64607,TOYOTA,AVANZA,,TOYOTA AVANZA ,low score
4759,BMW,X,X4,BMW X X4,low score
114079,ISUZU,NLR85UHE,,ISUZU NLR85UHE ,low score
55886,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
106390,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
77036,MAZDA,2,SKYACTIV-G,MAZDA 2 SKYACTIVG,low score
6192,BMW,X,X1,BMW X X1,low score
20090,HONDA,JAZZ,HYBRID,HONDA JAZZ HYBRID,low score
105019,PERODUA,ATIVA,AV,PERODUA ATIVA AV,low score
60258,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
20169,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
91190,MINI,ONE,,MINI ONE ,low score
77238,MAZDA,2,SKYACTIV-G,MAZDA 2 SKYACTIVG,low score
20264,HONDA,BR-V,E I-VTEC,HONDA BRV E IVTEC,low score
20273,HONDA,BR-V,V I-VTEC,HONDA BRV V IVTEC,low score
6713,BMW,X,X1,BMW X X1,low score
18402,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
105887,PERODUA,MYVI,H,PERODUA MYVI H,low score
62394,TOYOTA,WISH,X,TOYOTA WISH X,low score
20371,HONDA,HR-V,I-VTEC S,HONDA HRV IVTEC S,low score
78756,MAZDA,CX-5,HIGH T/C,MAZDA CX5 HIGH TC,low score
92020,MITSUBISHI,ASX,,MITSUBISHI ASX ,low score
56082,TOYOTA,86,GT,TOYOTA 86 GT,low score
49028,PERODUA,KELISA,EZ,PERODUA KELISA EZ,low score
109442,PERODUA,ARUZ,AV,PERODUA ARUZ AV,low score
56119,TOYOTA,INNOVA,X,TOYOTA INNOVA X,low score
62452,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
76840,MAXUS,G10,SE,MAXUS G10 SE,low score
79664,MAZDA,2,SKYACTIV-G,MAZDA 2 SKYACTIVG,low score
18600,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
50396,PORSCHE,MACAN,,PORSCHE MACAN ,low score
106784,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
64882,TOYOTA,86,GT,TOYOTA 86 GT,low score
56026,TOYOTA,WISH,S,TOYOTA WISH S,low score
73779,KIA,CARNIVAL,,KIA CARNIVAL ,low score
54061,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
62577,TOYOTA,CAMRY,E,TOYOTA CAMRY E,low score
79012,MAZDA,3,SKYACTIV-G,MAZDA 3 SKYACTIVG,low score
78673,MAZDA,3,GLS,MAZDA 3 GLS,low score
78705,MAZDA,6,,MAZDA 6 ,low score
73501,ISUZU,NLR77UEE,-,ISUZU NLR77UEE ,low score
20707,HONDA,BR-V,E I-VTEC,HONDA BRV E IVTEC,low score
20274,HONDA,CITY,I-DSI,HONDA CITY IDSI,low score
10423,BMW,X,X1,BMW X X1,low score
111699,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
46879,PERODUA,AXIA,AV,PERODUA AXIA AV,low score
62640,TOYOTA,VIOS,GX,TOYOTA VIOS GX,low score
47612,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
78762,MAZDA,6,,MAZDA 6 ,low score
56279,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
98570,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
62675,TOYOTA,ESTIMA,,TOYOTA ESTIMA ,low score
79050,MAZDA,3,SKYACTIV-G,MAZDA 3 SKYACTIVG,low score
21069,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
62717,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
11941,HONDA,CIVIC,EK,HONDA CIVIC EK,low score
48075,PERODUA,MYVI,H,PERODUA MYVI H,low score
62711,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
61273,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
65277,TOYOTA,WISH,X,TOYOTA WISH X,low score
107006,PERODUA,ALZA,EZI,PERODUA ALZA EZI,low score
65013,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
115373,PROTON,X50,EXECUTIVE,PROTON X50 EXECUTIVE,low score
80446,SUBARU,FORESTER,,SUBARU FORESTER ,low score
61529,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
107030,PERODUA,MYVI,EZI,PERODUA MYVI EZI,low score
318,BMW,X,X1,BMW X X1,low score
98314,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
62784,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
62790,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
50506,PORSCHE,CAYMAN,,PORSCHE CAYMAN ,low score
50422,PORSCHE,911,GT3,PORSCHE 911 GT3,low score
25424,HONDA,HR-V,V,HONDA HRV V,low score
59865,TOYOTA,WISH,X,TOYOTA WISH X,low score
20666,HONDA,CITY,I-DSI,HONDA CITY IDSI,low score
56344,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
106154,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
997,BMW,X,X1,BMW X X1,low score
56220,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
111822,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
56806,TOYOTA,ALPHARD,-,TOYOTA ALPHARD ,low score
65686,TOYOTA,RUSH,S,TOYOTA RUSH S,low score
21376,HONDA,BR-V,E I-VTEC,HONDA BRV E IVTEC,low score
78078,MAZDA,8,,MAZDA 8 ,low score
62190,TOYOTA,WISH,X,TOYOTA WISH X,low score
46862,PERODUA,AXIA,G,PERODUA AXIA G,low score
107172,PERODUA,ALZA,SE,PERODUA ALZA SE,low score
56459,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
111844,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
1354,BMW,X,X7,BMW X X7,low score
111849,TOYOTA,FORTUNER,V,TOYOTA FORTUNER V,low score
21558,HONDA,HR-V,I-VTEC E,HONDA HRV IVTEC E,low score
62952,TOYOTA,RUSH,S,TOYOTA RUSH S,low score
46934,PERODUA,ATIVA,AV,PERODUA ATIVA AV,low score
65180,TOYOTA,VIOS,S,TOYOTA VIOS S,low score
62961,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
58252,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
47014,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
47043,PERODUA,ATIVA,AV,PERODUA ATIVA AV,low score
107228,PERODUA,ALZA,S,PERODUA ALZA S,low score
51455,TOYOTA,CAMRY,G X,TOYOTA CAMRY G X,low score
