id,brand,model,variant,cleaned,matched_candidate,score,reason
89108,MERCEDES BENZ,230E,-,MERCEDES BENZ 230E ,MERCEDESBENZ SCLASS S580 E 30,72,no match at all
23748,ALFA-ROMEO,147,TWIN SPARK SELESPEED,ALFAROMEO 147 TWIN SPARK SELESPEED,PERODUA NO GROUP ALZA 15 S,54,no match at all
39893,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39912,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
56052,ROLLS-ROYCE,CULLINAN,V12,ROLLSROYCE CULLINAN V12,ROLLSROYCE NO GROUP WRAITH 66 BLACK BADGE,65,no match at all
56065,ROLLS-ROYCE,GHOST,-,ROLLSROYCE GHOST ,ROLLSROYCE NO GROUP WRAITH 66,75,no match at all
65482,ASIA-MOTORS,ASIA-ROCSTA,AM102,ASIAMOTORS ASIAROCSTA AM102,KIA NO GROUP ROCSTA 18 AM102,62,no match at all
6357,DONGFENG,BOX,E3,DONGFENG BOX E3,TOYOTA NO GROUP VELLFIRE 35 ROYAL LOUNGE SP,53,no match at all
6133,CHRYSLER,CROSSFIRE,-,CHRYSLER CROSSFIRE ,VOLVO NO GROUP V40 CROSS COUNTRY 20 T5,56,no match at all
6356,DONGFENG,BOX,E3,DONGFENG BOX E3,TOYOTA NO GROUP VELLFIRE 35 ROYAL LOUNGE SP,53,no match at all
88315,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89034,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89035,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89036,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89037,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89038,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89039,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89040,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89041,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89042,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89043,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89044,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89045,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89046,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89047,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89048,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89049,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89050,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89051,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89052,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89053,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89054,MERCEDES BENZ,200E,-,MERCEDES BENZ 200E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
