id,brand,model,variant,reason
63834,TOYOTA,ALPHARD,G,low match score
4331,BMW,3 SERIES,330E,no candidate match
113065,TOYOTA,FORTUNER,SRZ,low match score
64372,TOYOTA,AVANZA,G,low match score
4438,BMW,X,X5,no candidate match
7783,BMW,I,I5,no candidate match
96562,BMW,M,M340I,no candidate match
60212,TOYOTA,RAV4,,missing cleaned source data
49344,PERODUA,AXIA,G,low match score
60645,TOYOTA,INNOVA,X,low match score
4593,BMW,I,IX,no candidate match
2052,BMW,X,X3,no candidate match
3247,BMW,1 SERIES,120I,no candidate match
60753,TOYOTA,FORTUNER,V,low match score
4585,BMW,X,X3,no candidate match
5877,BMW,6 SERIES,630I,no candidate match
88257,HONDA,ACCORD,VTI-S,low match score
34913,PROTON,X50,PREMIUM,no candidate match
60848,TOYOTA,COROLLA ALTIS,G,low match score
60917,TOYOTA,COROLLA ALTIS,E,low match score
60925,TOYOTA,COROLLA ALTIS,G,low match score
4662,BMW,5 SERIES,530E,no candidate match
64520,TOYOTA,VIOS,E,low match score
61020,TOYOTA,VIOS,G,low match score
16502,HONDA,N-BOX CUSTOM,G L,low match score
61172,TOYOTA,YARIS,G,low match score
61202,TOYOTA,COROLLA ALTIS,G,low match score
1740,BMW,I,I5,no candidate match
4699,BMW,2 SERIES,218I,no candidate match
64607,TOYOTA,AVANZA,,missing cleaned source data
6009,BMW,3 SERIES,330E,no candidate match
4759,BMW,X,X4,no candidate match
6192,BMW,X,X1,no candidate match
4753,BMW,5 SERIES,530E,no candidate match
37131,MERCEDES-BENZ,C-CLASS,C200,no candidate match
37169,MERCEDES-BENZ,A-CLASS,A180,no candidate match
1972,BMW,5 SERIES,520I,no candidate match
37245,MERCEDES-BENZ,A-CLASS,A200,no candidate match
39518,MERCEDES-BENZ,C-CLASS,C200,no candidate match
60189,TOYOTA,FORTUNER,G,low match score
105019,PERODUA,ATIVA,AV,low match score
60258,TOYOTA,CAMRY,V,low match score
39625,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
1952,BMW,5 SERIES,530E,no candidate match
39706,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
91190,MINI,ONE,,missing cleaned source data
2476,BMW,X,X5,no candidate match
39757,MERCEDES-BENZ,E-CLASS,E200K,no candidate match
37872,MERCEDES-BENZ,G-CLASS,G63 AMG,no candidate match
39766,MERCEDES-BENZ,C-CLASS,C250,no candidate match
86085,BMW,X,X3,no candidate match
6467,BMW,3 SERIES,318I,no candidate match
42732,MERCEDES-BENZ,EQ,EQA 250,no candidate match
62394,TOYOTA,WISH,X,low match score
38300,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
38450,MERCEDES-BENZ,C-CLASS,C200,no candidate match
38469,MERCEDES-BENZ,C-CLASS,C200,no candidate match
49028,PERODUA,KELISA,EZ,low match score
62452,TOYOTA,YARIS,G,low match score
76840,MAXUS,G10,SE,low match score
40102,MERCEDES-BENZ,C-CLASS,C250,no candidate match
62520,TOYOTA,ALPHARD,G S,low match score
86240,BMW,3 SERIES,330E,no candidate match
38739,MERCEDES-BENZ,CLA-CLASS,CLA200,no candidate match
38788,MERCEDES-BENZ,E-CLASS,E250 CGI,no candidate match
40265,MERCEDES-BENZ,E-CLASS,E300,no candidate match
64882,TOYOTA,86,GT,low match score
40307,MERCEDES-BENZ,GLC-CLASS,GLC200,no candidate match
40365,MERCEDES-BENZ,C-CLASS,C200,no candidate match
38879,MERCEDES-BENZ,C-CLASS,C200,no candidate match
3100,BMW,3 SERIES,330E,no candidate match
73779,KIA,CARNIVAL,,missing cleaned source data
62577,TOYOTA,CAMRY,E,low match score
38964,MERCEDES-BENZ,A-CLASS,A35 AMG,no candidate match
91826,MITSUBISHI,XPANDER,,missing cleaned source data
86268,BMW,3 SERIES,320I,no candidate match
78673,MAZDA,3,GLS,low match score
78705,MAZDA,6,,missing cleaned source data
1701,BMW,7 SERIES,730LI,no candidate match
62574,TOYOTA,COROLLA ALTIS,V,low match score
20274,HONDA,CITY,I-DSI,low match score
10423,BMW,X,X1,no candidate match
6780,BMW,3 SERIES,330E,no candidate match
4889,BMW,3 SERIES,330E,no candidate match
40487,MERCEDES-BENZ,E-CLASS,E200,no candidate match
62603,TOYOTA,FORTUNER,SRZ,low match score
62640,TOYOTA,VIOS,GX,low match score
78762,MAZDA,6,,missing cleaned source data
