image,brand,model,variant,year,mileage,price,created_at
https://b2c-cdn.carsome.my/B2C/5e515c25-5ff1-459e-8e67-2c312a516adc.jpg,BMW,330i,M Sport,2019,56157,169000,2024-11-03 23:06:10
https://b2c-cdn.carsome.my/B2C/7d3cb04b-fc51-42cf-b0e0-97cf478667d4.jpg,Toyota,Vios,E,2017,129789,48000,2024-11-03 23:06:24
https://b2c-cdn.carsome.my/B2C/905224cc-62c2-45b5-9be3-619bf03b35ad.jpg,Subaru,XV,P,2021,38764,104800,2024-11-03 23:07:22
https://b2c-cdn.carsome.my/B2C/6ed47a4e-7ffa-4b1a-a72d-f3e4552b09e6.jpg,Mazda,3,SKYACTIV-G High Plus,2021,55300,143800,2024-11-03 23:08:23
https://b2c-cdn.carsome.my/B2C/8a689101-4a3b-4d42-8476-059bd5be415c.jpg,BMW,330i,M Sport,2015,155468,113000,2024-11-03 23:09:23
https://b2c-cdn.carsome.my/B2C/e9bcf409-f177-494f-a062-d8d06082322d.jpg,Toyota,Vios,J,2017,120230,50400,2024-11-03 23:10:24
https://b2c-cdn.carsome.my/B2C/b0f6bdc3-1380-4c5d-803e-de8f1e03b585.jpg,Mazda,CX-5,SKYACTIV-G GLS,2019,109453,100500,2024-11-03 23:11:22
https://b2c-cdn.carsome.my/B2C/d9c946c0-ac2a-453c-a321-63bfff407a17.jpg,Neta,V,,2024,1,100000,2024-11-03 23:12:24
https://b2c-cdn.carsome.my/B2C/cfe4c59a-f9c0-4624-8f2f-c796beb27f3c.jpg,Neta,V,,2024,1,100000,2024-11-03 23:13:23
https://b2c-cdn.carsome.my/B2C/4cff8c72-f2d4-489d-b7f0-1b9a6ba504f7.jpg,Mercedes-Benz,C250,,2016,78832,174000,2024-11-03 23:14:22
https://b2c-cdn.carsome.my/B2C/6c5f9a61-3d0e-42a0-bbaf-202a12f2e09e.jpg,Volkswagen,Polo,GTi,2012,186340,30000,2024-11-03 23:15:23
https://b2c-cdn.carsome.my/B2C/0453312b-3b1c-41f0-bb3d-5952dd055448.jpg,Isuzu,D-Max,V-Cross Z-Prestige Dual Cab,2017,111349,76000,2024-11-03 23:16:05
https://b2c-cdn.carsome.my/B2C/3093bffb-dc0e-46c0-9e04-f4cfd6608b5e.jpg,Honda,City,S i-VTEC,2018,109127,57100,2024-11-03 23:17:05
https://b2c-cdn.carsome.my/B2C/04bda425-ccf6-4bce-8ab2-5180e30a0eec.jpg,Mazda,CX-5,SKYACTIV-D GLS,2018,99784,85500,2024-11-03 23:18:04
